"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|NL","Without sequence","41.88","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|NL","Without sequence","38.6","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|NL","Without sequence","36.55","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|NL","Without sequence","32.32","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|NL","Without sequence","30.85","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|NL","Without sequence","30.14","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|NL","Without sequence","30.17","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|NL","Without sequence","30.0","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|NL","Without sequence","30.65","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|NL","Without sequence","30.65","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|NL","Without sequence","30.27","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|NL","Without sequence","30.34","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|NL","Without sequence","30.99","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|NL","Without sequence","30.04","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|NL","Without sequence","30.75","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|NL","Without sequence","32.11","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|NL","Without sequence","35.98","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|NL","Without sequence","40.4","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|NL","Without sequence","44.05","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|NL","Without sequence","38.69","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|NL","Without sequence","42.62","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|NL","Without sequence","40.68","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|NL","Without sequence","39.68","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|NL","Without sequence","31.47","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|NL","Without sequence","35.4","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|NL","Without sequence","31.98","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|NL","Without sequence","30.5","",""
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|NL","Without sequence","28.79","",""
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|NL","Without sequence","28.42","",""
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|NL","Without sequence","28.75","",""
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|NL","Without sequence","34.16","",""
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|NL","Without sequence","42.07","",""
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|NL","Without sequence","44.89","",""
"02/01/2020 09:00:00 - 02/01/2020 10:00:00","BZN|NL","Without sequence","45.26","",""
"02/01/2020 10:00:00 - 02/01/2020 11:00:00","BZN|NL","Without sequence","45.57","",""
"02/01/2020 11:00:00 - 02/01/2020 12:00:00","BZN|NL","Without sequence","45.09","",""
"02/01/2020 12:00:00 - 02/01/2020 13:00:00","BZN|NL","Without sequence","45.16","",""
"02/01/2020 13:00:00 - 02/01/2020 14:00:00","BZN|NL","Without sequence","44.9","",""
"02/01/2020 14:00:00 - 02/01/2020 15:00:00","BZN|NL","Without sequence","44.06","",""
"02/01/2020 15:00:00 - 02/01/2020 16:00:00","BZN|NL","Without sequence","43.63","",""
"02/01/2020 16:00:00 - 02/01/2020 17:00:00","BZN|NL","Without sequence","44.39","",""
"02/01/2020 17:00:00 - 02/01/2020 18:00:00","BZN|NL","Without sequence","46.05","",""
"02/01/2020 18:00:00 - 02/01/2020 19:00:00","BZN|NL","Without sequence","46.72","",""
"02/01/2020 19:00:00 - 02/01/2020 20:00:00","BZN|NL","Without sequence","44.62","",""
"02/01/2020 20:00:00 - 02/01/2020 21:00:00","BZN|NL","Without sequence","34.9","",""
"02/01/2020 21:00:00 - 02/01/2020 22:00:00","BZN|NL","Without sequence","34.19","",""
"02/01/2020 22:00:00 - 02/01/2020 23:00:00","BZN|NL","Without sequence","32.39","",""
"02/01/2020 23:00:00 - 03/01/2020 00:00:00","BZN|NL","Without sequence","28.83","",""
"03/01/2020 00:00:00 - 03/01/2020 01:00:00","BZN|NL","Without sequence","27.44","",""
"03/01/2020 01:00:00 - 03/01/2020 02:00:00","BZN|NL","Without sequence","27.7","",""
"03/01/2020 02:00:00 - 03/01/2020 03:00:00","BZN|NL","Without sequence","27.51","",""
"03/01/2020 03:00:00 - 03/01/2020 04:00:00","BZN|NL","Without sequence","24.79","",""
"03/01/2020 04:00:00 - 03/01/2020 05:00:00","BZN|NL","Without sequence","22.4","",""
"03/01/2020 05:00:00 - 03/01/2020 06:00:00","BZN|NL","Without sequence","25.98","",""
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|NL","Without sequence","30.99","",""
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|NL","Without sequence","29.78","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|NL","Without sequence","40.54","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|NL","Without sequence","45.76","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|NL","Without sequence","47.67","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|NL","Without sequence","49.17","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|NL","Without sequence","44.91","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|NL","Without sequence","39.7","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|NL","Without sequence","39.04","",""
